city_id,city,lat_city,lon_city,temp_d1,temp_d2,temp_d3,temp_d4,temp_d5,weather_d1,weather_d2,weather_d3,weather_d4,weather_d5,clouds_d1,clouds_d2,clouds_d3,clouds_d4,clouds_d5,wind_d1,wind_d2,wind_d3,wind_d4,wind_d5,humidity_d1,humidity_d2,humidity_d3,humidity_d4,humidity_d5,pop_d1,pop_d2,pop_d3,pop_d4,pop_d5,rain_d1,rain_d2,rain_d3,rain_d4,rain_d5,avg_temp,avg_clouds,avg_wind,avg_humidity,avg_pop,avg_rain,avg_weather
17,Lyon,45.7578137,4.8320114,8.67,5.3,6.2,7.36,7.02,Rain,Clouds,Clouds,Rain,Rain,100,100,100,100,100,4.47,3.42,3.13,6.78,5.68,69,74,62,84,79,1.0,0.34,0.0,0.84,0.56,7.37,0.0,0.0,0.49,0.46,6.909999999999999,100.0,4.696,73.6,0.548,1.6640000000000001,Rain
18,Gorges du Verdon,43.7496562,6.3285616,7.28,0.05,-0.15,2.88,2.05,Rain,Clouds,Clear,Rain,Rain,100,48,6,100,99,2.17,2.13,2.15,2.67,1.52,97,94,84,96,95,0.85,0.0,0.0,1.0,0.36,0.69,0.0,0.0,1.31,0.21,2.4219999999999997,70.6,2.1279999999999997,93.2,0.442,0.442,Rain
19,Bormes les Mimosas,43.1506968,6.3419285,13.11,9.16,8.34,11.09,9.7,Rain,Clouds,Clear,Rain,Rain,100,40,2,100,76,5.36,7.73,6.3,3.72,3.74,92,63,58,91,75,0.51,0.0,0.0,0.98,0.45,0.49,0.0,0.0,1.69,0.25,10.280000000000001,63.6,5.37,75.8,0.388,0.48599999999999993,Rain
20,Cassis,43.2140359,5.5396318,13.84,10.15,9.17,12.11,10.09,Rain,Clouds,Clear,Rain,Rain,100,23,1,100,100,2.17,7.75,6.91,5.21,5.6,88,62,65,90,71,0.36,0.0,0.0,0.92,0.32,0.34,0.0,0.0,1.15,0.25,11.072,64.8,5.5280000000000005,75.2,0.32,0.348,Rain
21,Marseille,43.2961743,5.3699525,13.96,10.31,9.32,12.35,10.26,Rain,Clouds,Clear,Rain,Clouds,100,15,1,100,99,2.05,7.6,6.89,6.32,5.35,87,60,64,87,68,0.41,0.0,0.0,0.83,0.22,0.34,0.0,0.0,0.91,0.0,11.24,63.0,5.642,73.2,0.292,0.25,Clouds
22,Aix en Provence,43.5298424,5.4474738,12.02,6.9,5.86,8.04,7.38,Rain,Clouds,Clear,Rain,Clouds,100,20,4,100,97,0.62,4.28,3.35,4.78,3.09,90,67,69,92,77,0.56,0.0,0.0,0.93,0.17,0.38,0.0,0.0,0.5,0.0,8.040000000000001,64.2,3.224,79.0,0.332,0.176,Clouds
23,Avignon,43.9492493,4.8059012,12.02,6.78,5.99,9.35,8.01,Rain,Clouds,Clouds,Rain,Clouds,100,93,56,100,100,6.18,3.92,1.55,6.55,3.6,84,69,70,83,73,0.89,0.0,0.0,0.68,0.04,1.59,0.0,0.0,0.37,0.0,8.43,89.8,4.36,75.8,0.322,0.392,Clouds
24,Uzes,44.0121279,4.4196718,10.21,5.91,5.64,8.34,7.17,Rain,Clouds,Clouds,Rain,Clouds,100,100,71,100,100,6.78,4.1,3.0,4.68,4.54,65,71,71,89,74,1.0,0.0,0.0,0.52,0.06,1.79,0.0,0.0,0.14,0.0,7.454000000000001,94.2,4.619999999999999,74.0,0.316,0.386,Clouds
25,Nimes,43.8374249,4.3600687,10.96,6.84,6.98,9.39,8.08,Rain,Clouds,Clouds,Clouds,Clouds,100,99,79,100,100,7.62,4.78,3.32,4.65,5.3,62,67,65,91,70,0.95,0.0,0.0,0.35,0.02,1.48,0.0,0.0,0.0,0.0,8.45,95.6,5.134,71.0,0.26399999999999996,0.296,Clouds
26,Aigues Mortes,43.5661521,4.19154,12.29,8.62,8.73,11.42,9.73,Rain,Clouds,Clouds,Clouds,Clouds,100,78,78,100,99,9.48,5.41,4.75,4.92,5.22,63,63,64,87,63,0.9,0.0,0.0,0.07,0.0,0.59,0.0,0.0,0.0,0.0,10.157999999999998,91.0,5.956,68.0,0.194,0.118,Clouds
27,Saintes Maries de la mer,43.4515922,4.4277202,12.68,9.11,8.79,12.67,10.01,Rain,Clouds,Clouds,Clouds,Clouds,100,42,66,100,100,11.18,6.4,4.91,6.79,5.82,81,63,64,84,63,0.83,0.0,0.0,0.14,0.0,0.65,0.0,0.0,0.0,0.0,10.652,81.6,7.019999999999999,71.0,0.194,0.13,Clouds
28,Collioure,42.52505,3.0831554,10.36,7.67,7.13,8.63,8.0,Clouds,Rain,Clouds,Clouds,Rain,75,89,29,56,100,10.02,2.2,2.57,1.76,2.68,71,79,76,83,78,0.3,0.34,0.04,0.0,0.44,0.0,0.26,0.0,0.0,0.95,8.358,69.8,3.846,77.4,0.22400000000000003,0.242,Clouds
29,Carcassonne,43.2130358,2.3491069,7.63,6.18,7.01,6.33,7.2,Rain,Rain,Rain,Clouds,Clouds,99,88,97,82,92,9.31,5.15,6.04,3.88,8.38,88,81,82,92,69,0.93,0.45,0.58,0.21,0.26,2.78,0.21,0.54,0.0,0.0,6.87,91.6,6.552,82.4,0.48599999999999993,0.706,Rain
30,Ariege,42.9927428,1.6124975,6.21,4.27,4.97,8.87,4.85,Rain,Rain,Rain,Rain,Clouds,100,97,100,87,99,3.15,2.11,2.34,2.12,3.99,96,88,90,82,74,1.0,0.6,0.58,0.63,0.34,4.19,0.65,0.5,0.1,0.0,5.8340000000000005,96.6,2.742,86.0,0.63,1.088,Rain
31,Toulouse,43.6044622,1.4442469,7.28,5.45,5.84,7.58,6.02,Rain,Rain,Rain,Rain,Clouds,100,100,100,97,100,6.11,6.69,5.96,2.2,7.27,82,85,88,91,80,0.91,0.76,0.64,0.9,0.28,0.99,0.82,0.38,2.99,0.0,6.434,99.4,5.646,85.2,0.6980000000000001,1.036,Rain
32,Montauban,44.0175835,1.3549991,7.48,4.58,5.44,8.6,5.74,Rain,Rain,Rain,Rain,Rain,100,100,98,100,100,6.43,5.76,5.32,4.45,6.74,81,90,93,93,90,0.87,0.91,0.78,1.0,0.61,0.31,2.08,0.67,3.7,1.71,6.368,99.6,5.739999999999999,89.4,0.834,1.6939999999999997,Rain
33,Biarritz,43.4832523,-1.5592776,9.47,7.5,8.46,11.43,9.61,Rain,Rain,Rain,Rain,Rain,100,100,100,100,99,7.17,6.91,5.59,12.26,7.93,70,84,86,75,67,0.95,1.0,0.82,0.75,0.62,1.01,7.06,2.14,2.1,1.46,9.294,99.8,7.9719999999999995,76.4,0.828,2.754,Rain
34,Bayonne,43.4945144,-1.4736657,9.23,7.01,8.18,11.25,9.25,Rain,Rain,Rain,Rain,Rain,100,100,100,100,98,6.25,5.61,4.95,11.21,6.79,72,87,88,75,68,0.96,1.0,0.84,0.77,0.6,1.03,7.58,2.37,2.28,1.26,8.984,99.6,6.962000000000001,78.0,0.834,2.904,Rain
35,La Rochelle,46.1591126,-1.1520434,8.87,5.97,8.88,9.5,7.85,Rain,Rain,Rain,Rain,Rain,17,99,100,64,96,11.11,6.96,5.28,17.61,11.15,70,81,76,80,71,0.86,0.99,0.48,0.7,0.34,0.99,1.99,0.37,0.45,0.1,8.214,75.2,10.422,75.6,0.674,0.78,Rain
